threshold,TP,FP,TN,FN,PA,UA,F1
-0.05,17,11,15,4,0.8095238095238095,0.6071428571428571,0.6938775510204083
-0.1,14,3,23,7,0.6666666666666666,0.8235294117647058,0.7368421052631577
-0.15,12,2,24,9,0.5714285714285714,0.8571428571428571,0.6857142857142857
-0.2,11,1,25,10,0.5238095238095238,0.9166666666666666,0.6666666666666667
-0.25,11,1,25,10,0.5238095238095238,0.9166666666666666,0.6666666666666667
-0.3,11,0,26,10,0.5238095238095238,1.0,0.6875000000000001
-0.4,9,0,26,12,0.42857142857142855,1.0,0.6
