layer,n_valid,min,mean,max
ΔNDVI Pre→Mid,911332,-0.9107294082641602,-0.02672223560512066,0.7451037168502808
ΔNDVI Pre→Post,911332,-0.7705257534980774,-0.03580811247229576,0.6732755899429321
ΔNDWI Pre→Mid,911332,-0.5557559728622437,0.019153516739606857,0.9724100828170776
ΔNDWI Pre→Post,911332,-0.5670015811920166,0.020817354321479797,0.7349153757095337
ΔBSI  Pre→Mid,911332,-0.5233933925628662,-0.0035367051605135202,0.4823009967803955
ΔBSI  Pre→Post,911332,-0.6030159592628479,-0.013554025441408157,0.4357353448867798
