zone,pixels,area_km2,share_%
High Confidence (|Δ|>1.5τ),130532,58.90584820632181,14.323210421668502
Low Confidence (τ≤|Δ|≤1.5τ),62196,28.067509384981392,6.824735661646908
No Detection (|Δ|<τ),718604,324.28812968816595,78.85205391668458
TOTAL valid pixels,911332,411.2614872794691,100.0
