scope,n,PA,UA,OA,Kappa,F1
AOI (全區),47,0.6666666666666666,0.8235294117647058,0.7872340425531915,0.5615671641791045,0.7368421052631577
LAKE_BBOX_LONLAT (湖區),17,0.5882352941176471,1.0,0.5882352941176471,,0.7407407407407407
